Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
27-05-2016,1183.25,1190,1176.7,1181.35,1186.8,1443796,17116.93
26-05-2016,1176.1,1188.9,1166.25,1182.85,1183.25,3426390,40398
25-05-2016,1146.3,1175.95,1146.3,1172.9,1173.3,1441837,16777.46
24-05-2016,1138.4,1143.65,1135.55,1143,1139.95,814867,9283.28
23-05-2016,1141.95,1149.95,1133.2,1134.9,1136.75,865883,9878.68
20-05-2016,1139.95,1148.5,1133.6,1137.95,1140.9,504158,5758.49
19-05-2016,1140.1,1142.7,1132,1137.05,1139.3,963949,10964.26
18-05-2016,1151,1151,1131.5,1141.2,1140.65,1040661,11836.37
17-05-2016,1165.05,1169.25,1151.3,1153.05,1153.45,1073856,12456.66
16-05-2016,1145,1165.9,1132.55,1160,1162.8,1129692,13014.41
13-05-2016,1148,1148,1130,1140,1140.9,1261329,14373.26
12-05-2016,1144,1152,1132.5,1151.7,1149.1,1055422,12073.63
11-05-2016,1134.7,1145,1129.7,1138.3,1138.8,1536843,17470.82
10-05-2016,1143.5,1147.5,1136.1,1145,1144.9,1363250,15559.55
09-05-2016,1120,1144.95,1119,1141.5,1141.4,1738295,19822.23
06-05-2016,1132,1132.25,1117.25,1121.3,1119.65,683288,7663.9
05-05-2016,1128,1134.75,1122.7,1133.4,1132.3,1303562,14729.77
04-05-2016,1117.5,1134.5,1114.25,1126,1127.35,1323082,14925.7
03-05-2016,1121.9,1135,1113.15,1121.35,1118,1173824,13211.44
02-05-2016,1127.75,1130,1116,1116.8,1117.65,965679,10850.51
29-04-2016,1113.8,1136,1106.2,1126.7,1132.35,1402985,15744.51
28-04-2016,1124.2,1136.7,1110.35,1112.55,1113.95,2022396,22723.66
27-04-2016,1109.85,1125,1109,1124.15,1124.2,1440909,16159.46
26-04-2016,1095,1115,1092.5,1113.5,1113.85,1763449,19543.76
25-04-2016,1100,1100,1084.5,1094.15,1093.25,1390490,15167.24
22-04-2016,1089.5,1100.85,1085.2,1094.3,1092.15,1952330,21344.65
21-04-2016,1095,1105.15,1089,1091,1091.15,2047932,22493.15
20-04-2016,1091.9,1100,1083.55,1099.75,1097.85,955338,10450.41
18-04-2016,1083.5,1092,1071.6,1087.15,1087.8,1029267,11183.08
13-04-2016,1072,1084.95,1069.5,1080,1081.75,1243651,13416.42
12-04-2016,1069.6,1071,1059.25,1063.7,1063,1235370,13138.48
11-04-2016,1060.3,1074.1,1042.85,1068,1070.95,1012405,10681.56
08-04-2016,1055,1063.35,1054.25,1060,1059.35,740699,7837.68
07-04-2016,1064,1064.75,1047.05,1056,1055.5,977923,10329.91
06-04-2016,1061,1066.95,1056.75,1063.1,1061.5,1073844,11414.12
05-04-2016,1069,1076.9,1055.65,1056.3,1057.45,1665757,17726.24
04-04-2016,1065.2,1072.8,1064,1068.25,1069.05,1544990,16503.46
01-04-2016,1068.8,1076.4,1056.8,1065.05,1064.45,1289662,13707.67
31-03-2016,1066.85,1078.9,1065.05,1071.8,1071.15,5020098,53863.59
30-03-2016,1058,1069.9,1053.9,1066.3,1064.95,1953595,20770.49
29-03-2016,1047.5,1059.5,1044.25,1053,1053.8,1683488,17759.89
28-03-2016,1045,1053,1041.65,1052.3,1047.5,2817717,29547.08
23-03-2016,1053.05,1053.05,1040.55,1049,1049.35,2116075,22135.4
22-03-2016,1046.5,1056.6,1040.7,1054,1053.85,1030066,10800.72
21-03-2016,1033,1047.35,1032.25,1044.8,1045.6,1329699,13828.76
18-03-2016,1022.95,1032,1015.35,1028.85,1028.4,1033767,10619.65
17-03-2016,1034.95,1039,1011.15,1016.75,1018.4,1278371,13154.83
16-03-2016,1027,1034.25,1018.95,1029.6,1030.45,1200887,12306.95
15-03-2016,1027.9,1033.4,1021.65,1026.5,1026.7,1922509,19717.38
14-03-2016,1028,1037.95,1025.25,1029.8,1027.55,752164,7749.96
11-03-2016,1019.9,1030.8,1013,1029.75,1028.7,1182714,12123.09
10-03-2016,1024.8,1025.75,1010.1,1021.2,1021.25,667848,6808.76
09-03-2016,1013,1029.9,1006.75,1024.8,1024.8,1632043,16614
08-03-2016,1024,1024,1009.5,1015,1014.15,478422,4858.31
04-03-2016,1015.45,1024.9,993.1,1024.9,1020.55,1426156,14405.47
03-03-2016,1010.75,1020,1010,1014.15,1015.85,1152600,11696.11
02-03-2016,998,1010.9,995,1010,1007.2,1589744,15968.74
01-03-2016,974.95,986.75,971.85,985,984.15,1080640,10595.09
29-02-2016,961.1,982.6,928,975.15,971.85,2203188,21295.98
26-02-2016,950,971,945,963.95,961,1552347,14915.86
25-02-2016,954,957.25,938.2,941,942.65,2115799,20062.32
24-02-2016,960,962.9,946.4,950,949.6,1615867,15404.85
23-02-2016,984.9,985.5,966,970,970.05,1519580,14770.46
22-02-2016,983,996,983,986.5,988.75,1000599,9909.54
19-02-2016,988.75,992.6,973.5,989.95,989.3,832165,8176.72
18-02-2016,986,991.25,977,987,989.45,1699964,16728.96
17-02-2016,976.9,979.9,959,978.7,974.9,1875981,18186.55
16-02-2016,981.5,982,962,975,973.45,1784024,17329.66
15-02-2016,980,988.25,971.1,974.6,973.6,2728240,26707.87
12-02-2016,979,986.45,966,968.8,971.4,3135536,30649.58
11-02-2016,1010,1013,968.2,978,975.3,2200900,21821.4
10-02-2016,1023.9,1030.15,1010.1,1015,1012.95,1920570,19549
09-02-2016,1026.7,1031.55,1020.65,1026.2,1026.05,1383865,14196.27
